name,position,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Beth Cunningham,Guard,21,0,9.4,0.8,3.2,0.25,0.4,1.8,0.243,0.4,1.5,0.258,0.8,0.9,0.842,0.2,0.8,1,0.6,0.1,0,0.6,1.1,2.8
Davalyn Cunningham,Forward,6,0,3.5,0,0.8,0,0,0,,0,0.8,0,0,0,,0.2,0.2,0.3,0,0.3,0,0.2,0.8,0
Monique Currie,Forward,411,337,23.7,3.3,8.2,0.401,0.7,2,0.338,2.6,6.1,0.422,3.1,3.8,0.823,1,3.1,4.1,1.8,0.9,0.3,1.8,2.8,10.3
Edniesha Curry,Guard,33,0,9.6,0.6,1.8,0.345,0.3,1.2,0.289,0.3,0.6,0.45,0.2,0.3,0.556,0.2,0.5,0.7,1.1,0.5,0,0.8,1.2,1.7
Ana Dabovic,Guard,46,8,16.7,2,4.8,0.427,0.5,1.7,0.291,1.5,3.1,0.504,1.4,1.8,0.79,0.4,0.8,1.2,1.6,0.7,0,1.2,2.3,6
Stacey Dales,Forward,150,131,25.9,3.1,8.1,0.38,1.6,4.5,0.348,1.5,3.6,0.42,1.5,2,0.739,0.7,1.5,2.2,2.7,0.6,0.1,1.8,2.2,9.2
Grace Daley,Guard,71,8,12.1,1.2,3,0.4,0.3,1,0.268,0.9,2,0.468,1.1,1.7,0.628,0.7,0.8,1.5,1.2,0.3,0,1.1,1.1,3.7
Damiris Dantas,Forward,115,45,19,2.6,5.9,0.438,0.3,1.2,0.281,2.3,4.7,0.477,1.2,1.5,0.808,1.2,2.8,4,0.9,0.5,0.4,0.8,2.1,6.7
Helen Darling,Guard,322,175,19.8,1.2,3.8,0.322,0.5,1.5,0.302,0.8,2.3,0.335,1.2,1.6,0.721,0.4,1.5,2,2.8,1.1,0.1,1.8,2.2,4.1
Jessica Davenport,Center,174,26,13.9,2.5,5,0.508,0,0.1,0.143,2.5,4.9,0.514,1.5,2,0.732,0.9,2.2,3.1,0.4,0.5,0.9,1.3,1.9,6.6
Brandi Davis,Guard,14,0,8.4,1,3.8,0.264,0.5,2.4,0.212,0.5,1.4,0.35,0.4,0.7,0.6,0.1,0.9,0.9,0.6,0.4,0.1,0.4,0.8,2.9
Dee Davis,Guard,3,0,6.3,0.7,2,0.333,0.7,1,0.667,0,1,0,0,0,,0,0,0,0,0,0,1.7,0.7,2
Kaela Davis,Forward-Guard,60,6,16.1,2,5.3,0.37,0.4,1.3,0.329,1.6,4.1,0.383,1.2,1.7,0.712,0.4,1.3,1.7,1.2,0.4,0.1,1.4,1.9,5.6
Tanae Davis-Cain,Guard,1,0,4,1,5,0.2,0,3,0,1,2,0.5,0,1,0,2,0,2,0,0,0,0,0,2
Clarissa Davis-Wrightsil,Forward,14,9,18.5,3.7,8.6,0.433,0.7,2.4,0.303,3,6.2,0.483,1.1,1.7,0.667,1.1,1.6,2.7,1.4,0.9,0.3,1.6,2.8,9.3
Erika de Souza,Forward-Center,329,263,22.8,4.1,7.7,0.529,0,0,0,4.1,7.7,0.529,1.1,1.8,0.637,2.4,4.4,6.7,0.9,0.8,1.1,1.5,2.6,9.3
Anna DeForge,Guard,237,213,27.6,3.6,8.9,0.403,1.4,3.8,0.374,2.2,5.1,0.424,1.6,1.9,0.821,0.8,2.4,3.2,2.1,1.1,0.2,1.6,1.5,10.2
Elena Delle Donne,Forward-Guard,159,152,31.4,6.9,14.8,0.466,1.4,3.7,0.387,5.4,11,0.493,5.2,5.6,0.934,1.6,5.1,6.7,1.7,0.8,1.6,1.2,1.8,20.4
Jennifer Derevjanik,Guard,128,9,10.2,0.6,1.3,0.413,0.1,0.4,0.192,0.5,0.9,0.508,0.3,0.5,0.627,0.3,0.8,1.1,1.4,0.4,0.1,0.7,1.1,1.5
Diamond DeShields,Guard,34,33,28.4,4.9,11.5,0.425,1.2,3.6,0.328,3.7,7.9,0.468,3.4,4.1,0.836,1.1,3.8,4.9,2.2,1.1,0.3,2.1,2.2,14.4
Maimouna Diarra,Center,10,0,2,0.1,0.5,0.2,0,0,,0.1,0.5,0.2,0.1,0.2,0.5,0.4,0.7,1.1,0.1,0.2,0,0.3,0.5,0.3
Keitha Dickerson,Forward,36,29,22.1,1.5,3.9,0.38,0,0.1,0,1.5,3.9,0.386,0.9,1.4,0.694,0.9,3.1,3.9,1.7,1,0.1,1.9,3,3.9
Blake Dietrick,Guard,29,0,6.9,0.4,1.3,0.351,0.3,0.8,0.375,0.1,0.4,0.308,0.2,0.3,0.75,0.1,0.5,0.6,0.4,0.2,0,0.4,0.8,1.4
Skylar Diggins-Smith,Guard,168,155,31.8,5.1,12.8,0.401,1.1,3.6,0.307,4,9.2,0.439,4.5,5.3,0.849,0.6,2,2.7,4.9,1.3,0.5,2.6,2.2,15.9
Tai Dillard,Guard,57,0,7.4,0.6,2.4,0.267,0.2,0.8,0.205,0.5,1.6,0.297,0.1,0.2,0.545,0.1,0.5,0.6,0.6,0.2,0.1,0.5,0.8,1.5
Tamecka Dixon,Guard,360,256,26.3,3.8,8.8,0.424,0.3,1.1,0.309,3.4,7.7,0.441,1.9,2.3,0.809,0.8,2.1,2.9,2.7,1,0.2,2,2.4,9.7
Stefanie Dolson,Center,162,123,24.4,4,8,0.505,0.4,1.1,0.384,3.6,6.9,0.524,1.5,1.7,0.862,1.2,3.9,5,1.8,0.5,1.1,1.8,3,10
Nadine Domond,Guard,9,0,10.2,1.1,3.7,0.303,0.3,1.8,0.188,0.8,1.9,0.412,0.4,0.4,1,0.7,0.3,1,1,0.8,0.1,1.2,1.4,3
Bethany Donaphin,Forward-Center,27,16,17.8,1.8,3.9,0.462,0,0,,1.8,3.9,0.462,1.2,2.3,0.541,1.1,1.5,2.6,0.6,0.4,0.3,0.8,2.2,4.9
Shay Doron,Guard,7,2,5,0.6,1.6,0.364,0.1,0.1,1,0.4,1.4,0.3,0.1,0.3,0.5,0,0.4,0.4,0,0.4,0,0.1,0.3,1.4
Scholanda Dorrell,Guard,222,116,17.7,2.3,6,0.386,0.5,1.6,0.311,1.8,4.4,0.413,1.5,2.1,0.703,0.5,1,1.5,0.8,1,0.2,1.5,1.9,6.6
